Year,StateAbbr,StateDesc,CityName,AsthmaPct,PopulationCount,Lat,Lng,SmokingPct,Access,Obesity,PhysicalAct,CO2ndMax8hr,NO2Mean1hr,Ozone4thMax8hr,SO2Mean1hr,PM25WeightedMean24hr,PM10Mean24hr,DayswithAQI,GoodDays,ModerateDays,UnhealthyforSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,MaxAQI,90thPercentileAQI,MedianAQI,DaysCO,DaysNO2,DaysOzone,DaysSO2,DaysPM25,DaysPM10,RenterOccupiedPct,UnempRatePct,CashPublicAssistPct,SNAPPct,NoHealthInsCovPct,BelowPovLevelPct
2016,SC,South Carolin,Rock Hill,9.7,66154,34.9403611496,-81.0249178286,20.7,17.1,35.2,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,SD,South Dakota,Rapid City,8.3,67956,44.0705009564,-103.218361421,20.0,11.8,28.7,19.6,,7.0,0.06,0.0,6.2,31.0,366,289,76,1,0,0,0,101,59,43,0,6,246,0,40,74,38.1,5.3,2.4,12.8,11.7,16.4
2016,SD,South Dakota,Sioux Falls,7.9,153888,43.5388067537,-96.7313495858,18.7,11.3,31.9,18.9,0.7,4.0,0.066,0.0,6.6,18.0,366,312,52,2,0,0,0,105,55,38,0,2,271,0,87,6,39.2,3.7,2.8,10.7,9,11.7
2016,TN,Tennessee,Chattanooga,10.7,167674,35.0662472165,-85.2466771892,24.1,16.6,34.4,29.2,,,0.069,,9.2,,359,227,127,2,3,0,0,177,67,47,0,0,200,0,159,0,45.1,8.7,4.1,19.7,12.5,21.1
2016,TN,Tennessee,Clarksville,10.3,132929,36.569683159,-87.3432371614,22.1,14.9,37.8,28.1,,,0.063,,8.3,,364,297,67,0,0,0,0,90,58,40,0,0,249,6,109,0,45.1,8.8,3,14.2,10.7,16.6
2016,TN,Tennessee,Knoxville,10.8,178874,35.9690594531,-83.9495877264,24.5,15.4,34.0,27.7,1.2,1.0,0.073,1.0,11.5,,366,197,155,11,3,0,0,169,84,49,0,0,253,1,101,11,55.2,7.5,3.7,20.1,12.4,26.5
2016,TN,Tennessee,Memphis,11.6,646889,35.1046295042,-89.978906085,24.5,19.9,41.0,32.1,1.2,10.0,0.071,,8.4,19.0,366,261,97,7,1,0,0,159,67,44,0,11,241,0,114,0,56.1,11.3,2.8,24.8,16.4,27.6
2016,TN,Tennessee,Murfreesboro,9.9,108755,35.850778195,-86.408628238,21.2,13.4,31.3,25.5,1.5,16.0,0.068,0.0,9.3,18.0,366,235,125,5,0,1,0,217,64,45,0,41,157,0,168,0,46.1,6.7,2.3,11.9,11.2,16
2016,TN,Tennessee,Nashville,10.4,601222,36.1712229904,-86.7845944773,21.5,15.4,32.2,26.8,1.5,16.0,0.068,0.0,9.3,18.0,366,235,125,5,0,1,0,217,64,45,0,41,157,0,168,0,,,,,,
2016,TX,Texas,Abilene,9.2,117063,32.4546510898,-99.7383043723,21.4,22.6,36.0,28.7,,,,,,,,,,,,,,,,,,,,,,,47.3,5.7,2,14.2,16.4,19.4
2016,TX,Texas,Allen,7.9,84246,33.1087043234,-96.6735373763,12.7,12.6,25.9,19.7,,,,,,,,,,,,,,,,,,,,,,,24.9,4.3,1.2,4.3,9.8,5.1
2016,TX,Texas,Amarillo,9.2,190695,35.2003835544,-101.828292514,19.3,23.1,33.8,27.8,,,0.064,0.0,,,366,321,44,1,0,0,0,112,54,41,0,0,329,5,32,0,40.0,4.3,1.3,13,18.4,16.7
2016,TX,Texas,Arlington,9.3,365438,32.699836862,-97.125089612,18.1,22.0,31.9,28.9,1.1,12.0,0.076,0.0,8.5,23.0,366,217,131,17,1,0,0,174,80,48,0,12,242,0,111,1,44.5,6.4,1.7,13.3,20.4,16.6
2016,TX,Texas,Austin,8.2,790390,30.3068610342,-97.7554771245,14.1,19.7,26.1,21.5,0.6,14.0,0.064,0.0,,23.0,366,280,85,1,0,0,0,105,60,42,0,18,225,0,122,1,55.1,5,1.4,9.3,16.8,16.7
2016,TX,Texas,Baytown,9.0,71802,29.7571153043,-94.9676276217,17.4,27.5,32.8,29.8,,,,,,,,,,,,,,,,,,,,,,,47.2,,,,,
2016,TX,Texas,Beaumont,9.9,118296,30.084416647,-94.1441072222,20.2,22.6,39.9,30.4,0.4,5.0,0.069,1.0,,,366,263,90,12,1,0,0,160,71,43,0,0,221,40,105,0,48.5,6.8,0.7,17.6,21.5,20.8
2016,TX,Texas,Brownsville,8.7,175023,25.9981977861,-97.4566343763,17.4,41.4,44.4,39.2,0.7,,0.055,,9.6,,366,277,87,2,0,0,0,110,63,40,0,0,172,0,194,0,36.1,9.4,2.8,29,33.4,32.8
2016,TX,Texas,Bryan,9.4,76201,30.6665687582,-96.3663819223,19.0,26.2,35.0,27.4,,,,,,,73,73,0,0,0,0,0,20,4,1,0,0,0,73,0,0,50.3,6.2,1.3,14.5,20.8,24.4
2016,TX,Texas,Carrollton,8.1,119097,32.988438459,-96.900137433,15.3,20.5,29.8,24.2,,,,,,,,,,,,,,,,,,,,,,,41.6,4.5,1,5.4,19.6,10.3
2016,TX,Texas,College Station,8.4,93857,30.5867615801,-96.2957958614,15.0,15.7,29.4,20.8,,,,,,,73,73,0,0,0,0,0,20,4,1,0,0,0,73,0,0,65.7,5.9,1.1,5.1,9.7,33.1
2016,TX,Texas,Corpus Christi,8.5,305215,27.7291588337,-97.4019095379,16.7,28.0,37.5,30.0,,,0.062,1.0,9.1,20.0,366,307,59,0,0,0,0,93,57,37,0,0,265,0,101,0,43.6,5.9,1.6,16,18.4,16.6
2016,TX,Texas,Dallas,9.3,1197816,32.7939804066,-96.7656929463,17.7,28.1,35.6,30.7,1.1,12.0,0.076,0.0,8.5,23.0,366,217,131,17,1,0,0,174,80,48,0,12,242,0,111,1,59.2,6.8,1.5,16.1,25.9,22.9
2016,TX,Texas,Denton,8.7,113383,33.2156160443,-97.1412438684,17.8,18.7,33.8,23.8,,,,,,,,,,,,,,,,,,,,,,,55.1,7.9,1.4,10,17.9,19.5
2016,TX,Texas,Edinburg,7.6,77100,26.3155843974,-98.1637130371,14.0,35.5,32.4,28.8,,,0.052,,10.4,27.0,366,289,76,1,0,0,0,114,61,36,0,0,182,0,181,3,42.6,7.3,2.5,23.7,25.7,26.6
2016,TX,Texas,El Paso,8.1,649121,31.8481123506,-106.432021874,15.6,32.7,34.9,29.6,2.4,15.0,0.071,1.0,9.6,27.0,366,198,162,6,0,0,0,147,74,49,0,31,195,0,139,1,42.1,7.7,2.9,21.8,22.3,21
2016,TX,Texas,Fort Worth,9.5,741206,32.780192804,-97.3470323225,18.8,24.5,33.7,31.1,1.1,12.0,0.076,0.0,8.5,23.0,366,217,131,17,1,0,0,174,80,48,0,12,242,0,111,1,42.9,6.4,1.9,15.4,20.7,18
2016,TX,Texas,Frisco,7.7,116989,33.1507545152,-96.8201336312,11.8,11.7,25.9,17.6,,,,,,,,,,,,,,,,,,,,,,,25.1,3.9,0.7,2.4,7.5,3.8
2016,TX,Texas,Garland,9.0,226876,32.9100799867,-96.6304258603,17.9,26.6,32.4,29.8,,,,,,,,,,,,,,,,,,,,,,,41.0,7.8,1.8,14.3,24.8,15.9
2016,TX,Texas,Grand Prairie,8.9,175396,32.6867650238,-97.0209311916,16.9,25.6,32.8,29.2,,,,,,,,,,,,,,,,,,,,,,,38.0,6.7,1.9,13.4,20.7,13.8
